id,latitude,longitude,name,type,color
A32019,42.363796,-71.129164,175 N Harvard St,Blue Bike,282891
S32035,42.38032335,-71.10878613,191 Beacon St,Blue Bike,282891
S32023,42.38100143,-71.10402523,30 Dane St,Blue Bike,282891
M32026,42.370803,-71.104412,359 Broadway - Broadway at Fayette Street,Blue Bike,282891
M32054,42.37500235,-71.14871614,699 Mt Auburn St,Blue Bike,282891
B32060,42.34960945,-71.10391524,700 Commonwealth Ave.,Blue Bike,282891
M32060,42.38078817,-71.15412891,700 Huron Ave,Blue Bike,282891
M32064,42.36550729,-71.0801376,75 Binney St,Blue Bike,282891
M32058,42.3936,-71.143941,84 Cambridgepark Dr,Blue Bike,282891
C32065,42.29167943,-71.05726346,Adams St at Lonsdale St,Blue Bike,282891
A32032,42.3740832,-71.03274185,Airport T Stop - Bremen St at Brooks St,Blue Bike,282891
C32061,42.33664795,-71.0689446,Albany St at E. Brookline St,Blue Bike,282891
M32046,42.39558846,-71.14260614,Alewife MBTA at Steel Place,Blue Bike,282891
M32033,42.396105,-71.139459,Alewife Station at Russell Field,Blue Bike,282891
C32079,42.27881158,-71.11687703,American Legion Hwy at Canterbury St,Blue Bike,282891
M32059,42.3636929,-71.0875672,Ames St at Broadway,Blue Bike,282891
M32037,42.3625,-71.08822,Ames St at Main St,Blue Bike,282891
C32012,42.33047365,-71.05701685,Andrew T Stop - Dorchester Ave at Dexter St,Blue Bike,282891
B32004,42.35991176,-71.05142981,Aquarium T Stop - 200 Atlantic Ave,Blue Bike,282891
D32004,42.35533502,-71.05822917,Arch St at Franklin St,Blue Bike,282891
C32048,42.29266593,-71.12119539,Archdale Rd at Washington St,Blue Bike,282891
C32062,42.2856944,-71.0641389,Ashmont T Stop,Blue Bike,282891
S32018,42.39223284,-71.07746601,Assembly Square T,Blue Bike,282891
A32003,42.350406,-71.108279,B.U. Central - 725 Comm. Ave.,Blue Bike,282891
C32003,42.34807412,-71.07657015,Back Bay T Stop - Dartmouth St at Stuart St,Blue Bike,282891
S32007,42.39782213,-71.1060667,Ball Sq,Blue Bike,282891
B32055,42.3294633,-71.0901582,Bartlett St at John Elliot Sq,Blue Bike,282891
D32024,42.356052,-71.069849,Beacon St at Charles St,Blue Bike,282891
B32016,42.35082681,-71.08981088,Beacon St at Massachusetts Ave,Blue Bike,282891
K32002,42.3382668,-71.13894682,Beacon St at Tappan St,Blue Bike,282891
S32003,42.37842,-71.105668,Beacon St at Washington / Kirkland,Blue Bike,282891
C32059,42.28634589,-71.1367213,Belgrade Ave at Walworth St,Blue Bike,282891
A32028,42.38353252,-71.01619095,Bennington St at Byron St,Blue Bike,282891
A32039,42.38522394,-71.01063069,Bennington St at Constitution Beach,Blue Bike,282891
M32067,42.37207658,-71.08995434,Berkshire Street at Cambridge Street,Blue Bike,282891
M32027,42.36608797,-71.08633604,Binney St / Sixth St,Blue Bike,282891
D32050,42.36435589,-71.06959369,Blossom St at Charles St,Blue Bike,282891
C32044,42.27462067,-71.09372552,Blue Hill Ave at Almont St,Blue Bike,282891
B32057,42.31786021,-71.07798629,Blue Hill Ave at Southwood St,Blue Bike,282891
B32008,42.35892,-71.057629,Boston City Hall - 28 State St,Blue Bike,282891
D32018,42.34776345,-71.04535997,Boston Convention and Exhibition Center - Summer St at West Side Dr,Blue Bike,282891
A32036,42.37331213,-71.04102008,Boston East - 126 Border St,Blue Bike,282891
A32045,42.35656092,-71.14167538,Boston Landing,Blue Bike,282891
C32002,42.33639915,-71.07306711,Boston Medical Center - E Concord St at Harrison Ave,Blue Bike,282891
D32044,42.36254854,-71.05737358,Boston Public Market,Blue Bike,282891
B32031,42.30785224,-71.06512249,Bowdoin St at Quincy St,Blue Bike,282891
D32007,42.3525878,-71.06764905,Boylston St at Arlington St,Blue Bike,282891
D32013,42.35114198,-71.07329249,Boylston St at Berkeley St,Blue Bike,282891
D32027,42.350413,-71.07655,Boylston St at Dartmouth St,Blue Bike,282891
D32046,42.34958942,-71.07946779,Boylston St at Exeter St,Blue Bike,282891
C32008,42.348762,-71.082383,Boylston St at Fairfield St,Blue Bike,282891
B32034,42.34465063,-71.09732501,Boylston St at Jersey St,Blue Bike,282891
B32018,42.347265,-71.088088,Boylston St at Massachusetts Ave,Blue Bike,282891
B32013,42.33462893,-71.10407918,Brigham Circle - Francis St at Huntington Ave,Blue Bike,282891
D32028,42.34894857,-71.15027189,Brighton Center - Washington St at Cambridge St,Blue Bike,282891
A32005,42.36154571,-71.13776207,Brighton Mills - 370 Western Ave,Blue Bike,282891
V32011,42.3983606,-71.06373843,Broadway at Beacham St,Blue Bike,282891
S32016,42.3951715,-71.09850592,Broadway at Central St,Blue Bike,282891
V32004,42.39648358,-71.0654676,Broadway at Lynde St,Blue Bike,282891
V32008,42.41034691,-71.05260458,Broadway at Maple St,Blue Bike,282891
S32014,42.38614141,-71.0782814,Broadway St at Mt Pleasant St,Blue Bike,282891
C32053,42.34278116,-71.05747275,Broadway T Stop,Blue Bike,282891
K32005,42.33376473,-71.12046447,Brookline Town Hall,Blue Bike,282891
K32003,42.33274392,-71.11626681,Brookline Village - Station Street at MBTA,Blue Bike,282891
A32023,42.37408991,-71.06905997,Bunker Hill Community College,Blue Bike,282891
B32020,42.345733,-71.100694,Burlington Ave at Brookline Ave,Blue Bike,282891
M32052,42.37119728,-71.09759867,Cambridge Dept. of Public Works -147 Hampshire St.,Blue Bike,282891
M32013,42.373379,-71.111075,Cambridge Main Library at Broadway / Trowbridge St,Blue Bike,282891
M32007,42.372969,-71.094445,Cambridge St - at Columbia St / Webster Ave,Blue Bike,282891
D32000,42.36121165,-71.0653062,Cambridge St at Joy St,Blue Bike,282891
M32019,42.366981,-71.076472,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Blue Bike,282891
C32088,42.27094707,-71.07337901,Central Ave at River St,Blue Bike,282891
M32012,42.366426,-71.105495,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Blue Bike,282891
M32011,42.36507,-71.1031,Central Square at Mass Ave / Essex St,Blue Bike,282891
A32041,42.37544913,-71.03918549,Central Square East Boston,Blue Bike,282891
C32086,42.28277901,-71.15728851,Centre St at Parkway YMCA,Blue Bike,282891
E32008,42.3121203,-71.1142981,Centre St at Seaverns Ave,Blue Bike,282891
C32085,42.28633199,-71.15344755,Centre St at W. Roxbury Post Office,Blue Bike,282891
D32016,42.36079297,-71.07118962,Charles Circle - Charles St at Cambridge St,Blue Bike,282891
D32051,42.3587253,-71.07079532,Charles St at Pinckney St,Blue Bike,282891
D32039,42.37412455,-71.054812,Charlestown Navy Yard,Blue Bike,282891
A32027,42.379772,-71.027448,Chelsea St at Saratoga St,Blue Bike,282891
V32009,42.40328057,-71.0476264,Chelsea St at Vine St,Blue Bike,282891
M32049,42.37150494,-71.07249312,Child St at North St,Blue Bike,282891
D32015,42.351356,-71.059367,Chinatown Gate Plaza,Blue Bike,282891
D32019,42.352409,-71.062679,Chinatown T Stop,Blue Bike,282891
B32005,42.34366582,-71.08582377,Christian Science Plaza - Massachusetts Ave at Westland Ave,Blue Bike,282891
S32010,42.406302,-71.132446,Clarendon Hill at Broadway,Blue Bike,282891
D32047,42.35155308,-71.07569031,Clarendon St at Newbury St,Blue Bike,282891
B32035,42.33554308,-71.1506152,Cleveland Circle,Blue Bike,282891
C32055,42.2873611,-71.071111,Codman Square Library,Blue Bike,282891
B32006,42.34011512,-71.10061884,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,Blue Bike,282891
B32029,42.309572,-71.0729,Columbia Rd at Ceylon St,Blue Bike,282891
C32052,42.33023071,-71.05060093,Columbia Rd at Tierney Community Center,Blue Bike,282891
C32077,42.34474225,-71.07648162,Columbus Ave at W. Canton St,Blue Bike,282891
A32002,42.35169202,-71.11903489,Commonwealth Ave at Agganis Way,Blue Bike,282891
K32006,42.35154735,-71.12126246,Commonwealth Ave At Babcock St,Blue Bike,282891
D32033,42.34024645,-71.15168806,Commonwealth Ave at Chiswick Rd,Blue Bike,282891
A32017,42.34922469,-71.13275303,Commonwealth Ave at Griggs St,Blue Bike,282891
D32034,42.34835863,-71.13997217,Commonwealth Ave at Kelton St,Blue Bike,282891
